Dataset,ViT,Model,Avg. Pos.,MRR,Recall@1,Recall@3,Recall@5,Recall@10,nDCG@3,nDCG@5,nDCG@10
N/A,B/32,basic-mini,61.206,0.168,0.083,0.178,0.244,0.349,0.136,0.164,0.197
N/A,L/14,basic-base,39.613,0.268,0.167,0.287,0.368,0.488,0.235,0.269,0.308
N/A,L/14@336px,basic-large,38.787,0.281,0.178,0.309,0.378,0.492,0.252,0.281,0.318
cap-FR-1,L/14,february_finetuned,19.54,0.391,0.264,0.436,0.528,0.669,0.363,0.401,0.447
cap-FR-2 \& ico-FR,L/14,march_finetuned,17.358,0.446,0.316,0.506,0.594,0.718,0.426,0.462,0.502
cap-TRI \& ico-TRI,B/32,art-mini,10.018,0.522,0.367,0.616,0.695,0.823,0.514,0.546,0.588
cap-TRI \& ico-TRI,L/14,art-base,\textbf{5.308},\textbf{0.662},\textbf{0.536},0.753,\textbf{0.822},\textbf{0.904},\textbf{0.662},\textbf{0.69},\textbf{0.717}
cap-TRI \& ico-TRI,L/14@336px,art-large,5.459,0.657,0.523,\textbf{\textbf{0.755}},0.815,\textbf{0.904},0.659,0.684,0.713
